idbel_white,fullname_white,belrating_white,result,idbel_black,fullname_black,belrating_black
17183,"Hugaert, Arthur",2170,½-½,42706,"Van Hoofstat, Tom",2065
29343,"Spaens, Kjell",2011,½-½,9156,"Zouaghi, Nouri",2177
36897,"Windels, Jan",2011,1-0,62766,"Verrijken, Geert",1998
9954,"Lot, Diederik",1964,1-0,31755,"Regniers, Yves",1982
27961,"Devolder, Dieter",1981,1-0,21881,"Denys, Frank",1921
66681,"Callier, Christophe",1981,0-1,31267,"Duhayon, Yves",2150
9245,"Luminet, Denis",2139,½-½,97109,"Paul, Bernard",1862
25386,"Khanalizadeh, Ahmad",1889,½-½,35271,"Kerkhof, Philippe",2197
45110,"Laurent, Michel",2043,1-0,98556,"Englebert, Roger",1923
97101,"Caels, Viviane",1876,1-0,27217,"Andreoli, Giorgio",2026
20183,"Sarkisian, Arman",2024,1-0,87823,"Silovy, Alain",1739
20531,"Vandenhole, Kobe",1945,½-½,69892,"Watelet, Sylvain",1932
13384,"Duringer, Valentin",1995,0-1,11023,"Roelandt, Andreas",1970
32913,"Willockx, Ritsaart",1941,0-1,50117,"Haak, Tillmann",1936
14768,"Pleysier, Simon",1951,½-½,9725,"Vanhee, Freddy",1866
14213,"Dobbelaere, Dieter",1798,½-½,19670,"Nicolas, Pierre",1896
85103,"Onrubia-Aviles, Carlos",1855,1-0,11017,"Carrijn, Bart",1760
50293,"Mueller, Martin",2105,½-½,84841,"Marlier, Gaetan",2065
20700,"Delbergue, Mossab",1824,½-½,10739,"Moles Palleja, Pere",2103
25102,"Perez Bolanos, Joel",2055,1-0 FF,82945,"Bousmanne, Christophe",1704
23066,"Franc, Thomas",1617,½-½,25094,"Perez Bolanos, David",2071
60503,"Bertram, Johannes",1931,0-1,82571,"Charlier, Laurent",1750
26953,"Descamps, Julien",0,½-½,12300,"Parreira, Luis Miguel",1748
50013,"Chaerle, Josse",2045,0-1,27111,"Goossens, Xavier",2009
23434,"Verbruggen, Samuel",1921,1-0,10030,"Vandamme, Florian",2028
12290,"Carpentier, Jannes",1988,1-0,8273,"Danckaert, Luc",1921
25518,"Philips, Richard",1913,½-½,12947,"Segers, Regis",2001
5011,"Vanroose, Christiaan",1775,1-0,27693,"Vander Cruyssen, Piet",1893
44539,"Philips, Ivo",1811,0-1,45144,"Vanroose, Sibran",1711
77267,"Coucke, Bart",2006,0-1,16881,"Musabayeva, Diana",1832
18465,"Cuvelier, Annelies",1881,1-0,10880,"Vandenbussche, Johan",1757
21261,"Deleu, Gilles",1470,0-1,14898,"Cappan, Pjotr",1798
15721,"Malfliet, Alexander",1827,1-0,30988,"De Brouwere, Johan",1636
15387,"Vanhaverbeke, Daan",1597,0-1,10937,"Van Malder, Klaus",1843
16320,"Decraene, Lotus",1445,1-0,96469,"Stragier, Dries",1525
50881,"Tiggelman, Rene",2201,1-0,16873,"Pouleyn, Floris",1903
14269,"De Fré, Hannes",1866,0-1,10283,"Van Houtte, Randy",2101
43257,"Ramacker, Quinten",2058,1-0,11886,"Vercruysse, Vincent",1891
24988,"Van Hoecke, Elena",1774,0-1,11927,"Pauwels, Xander",2023
9253,"Van De Velde, Koen",2062,1-0,14276,"Sleypen, Maxim",1695
23613,"Everaert, Frederic",1646,1-0,21938,"Demunck, Jan",2007
6653,"Maddens, Martijn",2124,1-0,24747,"Dupont, Arthur",2045
74926,"Minet, Julien",1931,0-1,16195,"Feys, Bert",2151
13263,"Bleys, Michiel",2110,1-0,12315,"Boudrenghien, Francois",1935
19840,"Stevens, Christian",1922,½-½,14206,"Keirse, Steven",1933
